"date","time","open","high","low","close","volume","OI"
03/29/1999,16:00,1282.80,1311.80,1282.80,1310.17,747627,0
03/30/1999,16:00,1310.17,1310.17,1295.68,1300.75,728795,0
03/31/1999,16:00,1300.75,1313.53,1285.75,1286.37,930157,0
04/01/1999,16:00,1286.37,1294.44,1282.70,1293.72,705299,0
04/05/1999,16:00,1293.72,1321.12,1293.72,1321.12,695346,0
04/06/1999,16:00,1321.12,1326.76,1313.01,1317.89,786949,0
04/07/1999,16:00,1317.89,1329.55,1312.56,1326.89,815847,0
04/08/1999,16:00,1326.89,1344.08,1321.61,1343.98,849923,0
04/09/1999,16:00,1343.98,1351.18,1335.33,1348.35,715670,0
04/12/1999,16:00,1348.35,1358.69,1333.71,1358.64,808501,0
04/13/1999,16:00,1358.64,1361.92,1344.05,1349.82,810385,0
04/14/1999,16:00,1349.82,1356.96,1328.00,1328.44,950807,0
04/15/1999,16:00,1328.44,1333.60,1308.42,1322.85,1088806,0
04/16/1999,16:00,1322.86,1325.12,1311.37,1319.00,1001752,0
04/19/1999,16:00,1319.00,1339.98,1285.04,1289.48,1213763,0
04/20/1999,16:00,1289.48,1306.19,1288.28,1306.17,984934,0
04/21/1999,16:00,1306.17,1336.12,1302.10,1336.12,919894,0
04/22/1999,16:00,1336.12,1358.96,1336.12,1358.82,927672,0
04/23/1999,16:00,1358.83,1363.67,1348.51,1356.85,744763,0
04/26/1999,16:00,1356.85,1363.58,1353.76,1360.40,711849,0
04/27/1999,16:00,1360.04,1371.67,1356.61,1362.80,891644,0
04/28/1999,16:00,1362.80,1368.58,1348.38,1350.91,950613,0
04/29/1999,16:00,1350.91,1356.86,1336.71,1342.83,1001926,0
04/30/1999,16:00,1342.83,1351.83,1314.59,1335.18,942646,0
05/03/1999,16:00,1335.18,1354.63,1329.83,1354.63,810176,0
05/04/1999,16:00,1354.63,1354.63,1330.59,1332.00,931913,0
05/05/1999,16:00,1333.43,1336.48,1317.48,1318.71,913099,0
05/06/1999,16:00,1347.31,1348.29,1322.59,1332.05,878870,0
05/07/1999,16:00,1332.05,1345.92,1332.05,1345.00,818748,0
05/10/1999,16:00,1345.00,1352.01,1334.00,1340.30,772837,0
